ID,Código,Descrição,Unidade,NCM,Origem,Preço,Valor IPI fixo,Observações,Situação,Estoque,Preço de custo,Cód. no fornecedor,Fornecedor,Localização,Estoque máximo,Estoque mínimo,Peso líquido (Kg),Peso bruto (Kg),GTIN/EAN,GTIN/EAN da Embalagem,Largura do produto,Altura do Produto,Profundidade do produto,Data Validade,Descrição do Produto no Fornecedor,Descrição Complementar,Itens p/ caixa,Produto Variação,Tipo Produção,Classe de enquadramento do IPI,Código na Lista de Serviços,Tipo do item,Grupo de Tags/Tags,Tributos,Código Pai,Código Integração,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Condição do Produto,Frete Grátis,Número FCI,Vídeo,Departamento,Unidade de Medida,Preço de Compra,Valor base ICMS ST para retenção,Valor ICMS ST para retenção,Valor ICMS próprio do substituto,Categoria do produto,Informações Adicionais
8314736867,2,Suporte Espelho,UN,44219900,0,1999,0,,Ativo,"0,00",1037,"	0011052300003",P&J IND. E COM. ATACADISTA,,0,100,0,0,7.89996E+12,7.89996E+12,0,0,0,,SUPORTE PARA ESPELHO ADNET PQ TAB,,0,,Própria,,,,,0,"	",0,,,28.061.00,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Metros,0,0,0,0,Acessórios para Móveis (Tray)>>Rodinhas,
13022158262,3,"parafuso bucha 6 ( 3,9 x32 )",UN,73181400,0,40,0,,Ativo,"1.570,00",9,"	301491",TRENAS E CIA COMERCIO FERRAMENTAS LTDA,,0,0,0,0,7.89842E+12,7.89842E+12,0,0,0,,"PF A.ATARR PN PH 3,9x32",,0,Produto,Própria,,,,,0,"	",0,,,10.058.00,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Centímetro,16,0,0,0,,
8314646461,4,"Chaleira Aço Inox 2,5L Mor",UN,3405.30.00,0,13999,0,,Ativo,"2,00",6238,"	007704",METALURGICA MOR S.A - MATRIZ,,0,100,0,0,,,0,0,0,,"CHALEIRA AÇO INOX 2,5L MATTINA MISTA",,0,,Própria,,,,,0,"	",0,,,,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Metros,5858,0,0,0,Acessórios Automotivos,
8315558505,5,Vedante de Porta 70cm parafusar,UN,76042920,0,3990,0,,Ativo,"5,00",1805,"	131010",SECALUX COMERCIO E INDUSTRIA LTDA,,0,200,0,0,7.89621E+12,7.89621E+12,0,0,0,,"VEDA PORTA - ALUMINIO - 0,70M",,0,Produto,Própria,,,,,0,"	",0,,,,0,"<p>VEDANTE PARA PORTA DE 70cm - SECALUX <br />VEDANTE PARA PORTA DE 70cm - SECALUX <br /><br />  <br /><br />  <br /><br /> Protege contra entrada de agua de chuva, insetos, poeira, baratas, aranhas, pequenos ratos, etc <br /><br />  <br /><br /> Fabricado em alumínio e borracha. <br /><br />  <br /><br /> Não resseca. <br /><br />  <br /><br /> Você mesmo instala, fácil instalação. <br /><br />  <br /><br />  <br /><br />CONTEÚDO DA EMBALAGEM:  <br /><br />  <br /><br /> 1 Vedante de porta <br /><br /> Parafusos para instalação</p>",0,"	",,0,NÃO,NOVO,NÃO,,,,Metros,1569,0,0,0,"Ferragens (Tray)>>Cadeados, Fechaduras e Veda-portas",
8315270951,6,Porta Shampoo Acrílico,UN,7604.29.20,0,3299,0,,Ativo,"2,00",1490,"	",RODRIGO VIDAL DA CUNHA FORNECEDOR,,0,500,0,0,,,0,0,0,,Porta shampoo acrílico ,,0,,Própria,,,,,0,"	",0,,,,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Metros,925,0,0,0,Cortinas e Acessórios (Tray),
8315270953,7,Ventilador De Mesa 40cm 127V Ventisol,UN,84145110,0,22990,0,,Ativo,"2,00",12670,"	550",VENTISOL INDUSTRIA E COMERCIO S. A.,,0,300,0,0,7.89846E+12,7.89846E+12,0,0,0,,VENTILADOR OSC MESA TURBO 6P 40CM PR 127V PREMIUM,,0,,Própria,,,,,0,"	",0,,,21.088.00,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Metros,9861,0,0,0,Cortinas e Acessórios (Tray),
8315558507,8,Bucha 6mm Plástica,UN,39259090,0,20,0,,Ativo,"873,00",2,"	128546",FERRAGENS NEGRAO COM LTDA - MG,,0,200,0,0,,,0,0,0,,BUCHA 06ABA 1000PC PLAST PAREDE MACICA - USAF,,0,,Própria,,,,,0,"	",0,,,10.017.00,0,,0,"	https://http2.mlstatic.com/D_NQ_NP_2X_863951-MLB26028369202_092017-F.webp",,0,NÃO,NOVO,NÃO,,,,Metros,1,0,0,0,Ferragens (Tray),
8315558508,9,Bucha 8mm Plástica,UN,39259090,0,35,0,,Ativo,"1.331,00",4,"	300505",TRENAS E CIA COMERCIO FERRAMENTAS LTDA,,0,200,0,0,7.89836E+12,7.89836E+12,0,0,0,,BUCHA PLASTICA C/ANEL 8,,0,Produto,Própria,,,,,0,"	",0,,,10.017.00,0,,0,"	https://images.tcdn.com.br/img/img_prod/694151/90_bucha_s_comum_plastica_com_aba_08_18559_1_abfeacbd532baea252b3effd4c6941c2.jpg",,0,NÃO,NOVO,NÃO,,,,Metros,17,0,0,0,Ferragens (Tray),
8342169634,10,Bucha 10mm Plástica,UN,39259090,0,40,0,,Ativo,"336,00",20,"	4885",TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A,,0,5000,0,0,,,0,0,0,,4885,,0,,Própria,,,,,0,"	",0,,,,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Metros,20,0,0,0,,
8319210905,11,Cabide Inox Pequeno,UN,7907.00.90,0,290,0,,Ativo,"45,00",124,"	50.03.0001-03",Industria e Comercio de Puxadores Criativa Ltda,,0,1000,0,0,7.89961E+12,7.89961E+12,0,0,0,,CABIDE ZAMAC PEQUENO SIMPLES CROMADO,,0,,Própria,,,,,0,"	",0,,,,0,,0,"	",,0,NÃO,NÃO ESPECIFICADO,NÃO,,,,Metros,146,0,0,0,Organização e Arrumação (Tray),
